date,report_month,price,percent_change
1983-03-30,1983-03,29.27,
1983-06-01,1983-06,31.38,7.2087461564741995
1983-09-01,1983-09,30.36,-3.2504780114722687
1983-12-01,1983-12,29.6,-2.5032938076416267
1984-03-01,1984-03,30.85,4.222972972972983
1984-06-01,1984-06,29.75,-3.5656401944894722
1984-09-04,1984-09,29.66,-0.30252100840335583
1984-12-03,1984-12,26.41,-10.957518543492917
1985-03-01,1985-03,28.29,7.1185157137448
1985-06-03,1985-06,26.87,-5.019441498762811
1985-09-03,1985-09,29.08,8.224786006698913
1985-12-02,1985-12,26.3,-9.559834938101785
1986-03-03,1986-03,10.42,-60.38022813688213
1986-06-02,1986-06,12.78,22.64875239923223
1986-09-02,1986-09,14.77,15.571205007824718
1986-12-01,1986-12,17.94,21.462423832092092
1987-03-02,1987-03,18.83,4.960981047937563
1987-06-01,1987-06,20.29,7.753584705257577
1987-09-01,1987-09,19.59,-3.4499753573188685
1987-12-01,1987-12,16.7,-14.752424706482902
1988-03-01,1988-03,17.08,2.2754491017964007
1988-06-01,1988-06,15.16,-11.241217798594839
1988-09-01,1988-09,13.37,-11.807387862796837
1988-12-01,1988-12,17.24,28.945400149588618
1989-03-01,1989-03,20.19,17.11136890951277
1989-06-01,1989-06,20.27,0.3962357602773636
1989-09-01,1989-09,20.13,-0.6906758756783482
1989-12-01,1989-12,21.82,8.395429706905123
1990-03-01,1990-03,20.28,-7.0577451879009985
1990-06-01,1990-06,17.07,-15.828402366863914
1990-09-04,1990-09,39.51,131.4586994727592
1990-12-03,1990-12,28.44,-28.01822323462414
1991-03-01,1991-03,19.63,-30.977496483825607
1991-06-03,1991-06,20.56,4.737646459500766
1991-09-03,1991-09,22.23,8.12256809338523
1991-12-02,1991-12,19.12,-13.990103463787673
1992-03-02,1992-03,19.44,1.673640167364021
1992-06-01,1992-06,21.6,11.111111111111116
1992-09-01,1992-09,21.71,0.5092592592592649
1992-12-01,1992-12,19.5,-10.179640718562876
1993-03-02,1993-03,20.44,4.8205128205128345
1993-06-01,1993-06,18.85,-7.7788649706457935
1993-09-01,1993-09,18.79,-0.31830238726792137
1993-12-01,1993-12,14.17,-24.587546567323038
1994-03-01,1994-03,14.79,4.375441072688768
1994-06-01,1994-06,19.37,30.966869506423265
1994-09-01,1994-09,18.39,-5.059370160041299
1994-12-01,1994-12,17.76,-3.425774877650889
1995-03-01,1995-03,19.17,7.939189189189189
1995-06-01,1995-06,17.4,-9.233176838810653
1995-09-01,1995-09,17.54,0.8045977011494232
1995-12-01,1995-12,19.55,11.459521094640834
1996-03-01,1996-03,21.47,9.820971867007655
1996-06-03,1996-06,20.92,-2.561714019562167
1996-09-03,1996-09,24.38,16.539196940726562
1996-12-02,1996-12,25.92,6.31665299425761
1997-03-03,1997-03,20.41,-21.257716049382726
1997-06-02,1997-06,19.8,-2.988731014208723
1997-09-02,1997-09,21.18,6.969696969696959
1997-12-01,1997-12,17.64,-16.713881019830023
1998-03-02,1998-03,15.61,-11.507936507936511
